# Холдинги и клиентские группы для новостного фильтра.
# Формат: ГОСБ|Название холдинга|Алиасы через ;|ИНН через ;|Источник
# Обновлено из файлов закрепления СЗБ/ПВБ и ТОП ММБ УПРы_2026_2q.xlsx.

# Самарский ГОСБ
Самарский ГОСБ|АКРОН|||Удержание
Самарский ГОСБ|ГК АЗАРОВА|||Развитие
Самарский ГОСБ|ГК ВОЛГАТРАНСПОСТАВКА|ООО "ТРК"|6316206182|УПР
Самарский ГОСБ|ГК МЕТСЕРВИС|||Развитие
Самарский ГОСБ|ГК САМАРА-АВТО|||Развитие
Самарский ГОСБ|ГК СДМ|||Развитие
Самарский ГОСБ|ГК СОЭЗ|ООО "ТД "САМАРА-ОЙЛ"|6376004102|УПР
Самарский ГОСБ|ГК СПА|ООО "САДОВАЯ"|6315012755|УПР
Самарский ГОСБ|МЯГКАЯ КРОВЛЯ|||Развитие
Самарский ГОСБ|НОВЫЙ ДОН|||Удержание
Самарский ГОСБ|ОЗОН ФАРМАЦЕВТИКА|||Удержание
Самарский ГОСБ|РУФ ПРОФИ ХОЛДИНГ_ММБ_0621|||Развитие
Самарский ГОСБ|САМАРСКИЙ ПИТОМНИК_ММБ_20251209|ООО "САМАРСКИЙ ПИТОМНИК"|6312103450|УПР
Самарский ГОСБ|ХОЛДИНГ ВЕСНА|||Удержание
Самарский ГОСБ|ЦСТ-АВИА ХОЛДИНГ_ММБ|ООО "ЦСТ"|6315602024|УПР

# Ленинградский ГОСБ
Ленинградский ГОСБ|АЛЕКСЕЕВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ 1 ХОЛДИНГ_ММБ_1120|ООО "ЛАУДА"|7802703040|УПР
Ленинградский ГОСБ|ГК АЛЬЯНС.|ООО ТС "АЛЬЯНС"|4705029870|УПР
Ленинградский ГОСБ|ГК ВИМОС|||Удержание
Ленинградский ГОСБ|ГК Невские сыры|ООО "НЕВА МИЛК"||Развитие
Ленинградский ГОСБ|ГК СЕМИШАГОВ|||Удержание
Ленинградский ГОСБ|ДЕСЕРТФЕНТЕЗИ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ДЕСЕРТ ФЕНТЕЗИ"||Развитие
Ленинградский ГОСБ|ИМПЕРИЯ|||Развитие
Ленинградский ГОСБ|ИСГ МАВИС|||Удержание
Ленинградский ГОСБ|КВС|||Удержание
Ленинградский ГОСБ|ЛЕВЕРИДЖ|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "НЕРУД ПРОМ"||Развитие
Ленинградский ГОСБ|МИР УПАКОВКИ|||Развитие
Ленинградский ГОСБ|ООО "НГК" (_ХОЛДИНГ_ММБ_201906)|ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ВЕКС ИНДАСТРИЗ"|7806610879|УПР
Ленинградский ГОСБ|ХОЛДИНГ ЦОТ|ООО "ДИЗАЙН-КАРГО"|7814085990|УПР
Ленинградский ГОСБ|ЭКОПЛАСТ-НЕВА_1157_02118|ООО "ЭКОПЛАСТ-НЕВА"|7810393923|УПР
Ленинградский ГОСБ|Ямбургпроминвест|||Развитие

# Калининградский ГОСБ
Калининградский ГОСБ|АКФЕН|||Удержание
Калининградский ГОСБ|АПРЕЛЬ ХОЛДИНГ_ММБ_2|ООО "АПРЕЛЬ"|3906267513|УПР
Калининградский ГОСБ|БАУЦЕНТР|||Удержание
Калининградский ГОСБ|ВКЗ АЛЬЯНС-1892|||Развитие
Калининградский ГОСБ|ГК ВЕСТЕР|ООО "ИМПОРТЕР"|3906255028|УПР
Калининградский ГОСБ|ГК ДРЕВСНАБ|ООО "ТД НИКА"|3906249070|УПР
Калининградский ГОСБ|ГК ЗАЛЕСЬЕ|||Развитие
Калининградский ГОСБ|ГК ЛИКК ПЛЮС|ООО "КОНТИ"|3905022140|УПР
Калининградский ГОСБ|ГК РАСЦВЕТ|||Удержание
Калининградский ГОСБ|ГК ТД СЕМЬЯ|||Развитие
Калининградский ГОСБ|ЗА РОДИНУ|||Развитие
Калининградский ГОСБ|ЭДКАР|ООО "ЭДКАР"|3906001489|УПР

# Ульяновский ГОСБ
Ульяновский ГОСБ|АВАНГАРД-1|ООО "ИВЛА-ЮСТ"|7325009288|УПР
Ульяновский ГОСБ|ГК ИП ГУБИН СЕРГЕЙ АЛЕКСАНДРОВИЧ|ООО "РУСКАН-АС"|7327070190|УПР
Ульяновский ГОСБ|ГРУППА КОМПАНИЙ МПЗ|||Развитие
Ульяновский ГОСБ|ГУЛЛИВЕР УЛЬЯНОВСК|||Удержание
Ульяновский ГОСБ|ДАРС|||Удержание
Ульяновский ГОСБ|ИВЛЕНА ХОЛДИНГ_ММБ|ООО "ДНЕПР"|7325154694|УПР
Ульяновский ГОСБ|ИНВЕСТОРЫ УЛЬЯНОВСКОЙ ОБЛАСТИ|||Развитие
Ульяновский ГОСБ|МИКРОКРЕДИТНАЯ КОМПАНИЯ ТЕЛЕПОРТ ХОЛДИНГ_ММБ_0421|ООО "АЗБУКА ЗДОРОВЬЯ"|7327032740|УПР
Ульяновский ГОСБ|НОВАЯ ЖИЗНЬ|||Удержание
Ульяновский ГОСБ|ПРОМИНВЕСТ УЛЬЯНОВСК|||Развитие
Ульяновский ГОСБ|УНИКОМ|||Развитие
Ульяновский ГОСБ|ЭЛИТСТРОЙ|ООО "СИМБИРСКМУКА"|7327092997|УПР
